experiment,video_id,class,policy,policy_slug,seed,top_k,offset_row,offset_col,sigma,epsilon,delta,cover,raw_errshare,inc_errshare,raw_psnr,incremental_psnr
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,4,20,,,103.175943963,8.000000000,0.000100000,0.107727219,0.111834981,0.093006718,13.642861976,13.833330623
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,4,20,3,4,103.175943963,8.000000000,0.000100000,0.088015310,0.095210865,0.073427946,14.077396488,14.280623225
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,4,20,,,103.175943963,8.000000000,0.000100000,0.429826732,0.405518409,0.400074298,14.095799158,14.377265887
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,4,20,3,4,103.175943963,8.000000000,0.000100000,0.054497078,0.067931308,0.045496146,13.925790776,14.128054026
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,4,20,,,103.175943963,8.000000000,0.000100000,0.000000000,0.020523005,0.000459775,13.143176724,13.345868555
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,5,20,,,103.175943963,8.000000000,0.000100000,0.409699819,0.381238055,0.374427390,14.105633512,14.370954103
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,5,20,,,103.175943963,8.000000000,0.000100000,0.852662603,0.828431508,0.846199785,14.311396122,14.596436442
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,5,20,,,103.175943963,8.000000000,0.000100000,0.115385218,0.112335976,0.092642654,13.625287169,13.815765548
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,5,20,3,4,103.175943963,8.000000000,0.000100000,0.080773881,0.099529902,0.078366123,14.078538209,14.278700208
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,5,20,,,103.175943963,8.000000000,0.000100000,0.429826732,0.398944930,0.393926563,14.119956848,14.392164829
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,5,20,3,4,103.175943963,8.000000000,0.000100000,0.054497078,0.070111406,0.048641982,13.916478934,14.116612810
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,5,20,,,103.175943963,8.000000000,0.000100000,0.000000000,0.020555793,0.000461682,13.156645395,13.357092464
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,6,20,,,103.175943963,8.000000000,0.000100000,0.394178668,0.364663259,0.357410445,14.076565341,14.344369124
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,6,20,,,103.175943963,8.000000000,0.000100000,0.852662603,0.825775810,0.843161054,14.337520700,14.618188859
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,6,20,,,103.175943963,8.000000000,0.000100000,0.102313373,0.103310237,0.083922941,13.620979567,13.806431152
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,6,20,3,4,103.175943963,8.000000000,0.000100000,0.086311444,0.097002592,0.074974672,14.093161605,14.297808933
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,6,20,,,103.175943963,8.000000000,0.000100000,0.429826732,0.410395879,0.405145377,14.109756068,14.398338409
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,6,20,3,4,103.175943963,8.000000000,0.000100000,0.054497078,0.067527104,0.045195995,13.960400276,14.161403993
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,6,20,,,103.175943963,8.000000000,0.000100000,0.000000000,0.020590764,0.000462547,13.157321862,13.358606736
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,7,20,,,103.175943963,8.000000000,0.000100000,0.396228631,0.366405737,0.358614299,14.120727975,14.397270782
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,7,20,,,103.175943963,8.000000000,0.000100000,0.852662603,0.828271753,0.847304735,14.385518992,14.688728738
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Random,random,7,20,,,103.175943963,8.000000000,0.000100000,0.109235328,0.116605215,0.096534019,13.691214854,13.892439287
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,7,20,3,4,103.175943963,8.000000000,0.000100000,0.082025157,0.097825129,0.075874588,14.183870686,14.394139112
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT-fusion,rat_fusion,7,20,,,103.175943963,8.000000000,0.000100000,0.429826732,0.404015320,0.398504591,14.158895487,14.441177849
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,7,20,3,4,103.175943963,8.000000000,0.000100000,0.054497078,0.072588194,0.050707840,13.973349595,14.188986453
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,7,20,,,103.175943963,8.000000000,0.000100000,0.000000000,0.020928175,0.000471493,13.223622423,13.433126361
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,RAT+traj,rat_traj,8,20,,,103.175943963,8.000000000,0.000100000,0.398651315,0.358327302,0.348144381,14.132873375,14.415705789
E1,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Motion-reference,motion_reference,8,20,,,103.175943963,8.000000000,0.000100000,0.852662603,0.829455583,0.847612053,14.410232404,14.704529690
