video_id,policy,n_seeds,cover_mean,cover_std,cover_min,cover_max,raw_errshare_mean,raw_errshare_std,raw_errshare_min,raw_errshare_max,inc_errshare_mean,inc_errshare_std,inc_errshare_min,inc_errshare_max
Biking_v_Biking_g03_c01,VideoMAE-only,10,0.000123,0.000000,0.000123,0.000123,0.010175,0.000066,0.010052,0.010275,0.000870,0.000044,0.000794,0.000935
Biking_v_Biking_g04_c01,Motion-reference,10,0.762569,0.000000,0.762569,0.762569,0.701895,0.001951,0.698712,0.706285,0.757803,0.002424,0.753875,0.762841
Biking_v_Biking_g04_c01,RAT+traj,10,0.214258,0.006687,0.198637,0.224023,0.195206,0.006013,0.183059,0.205527,0.201437,0.006592,0.187364,0.212030
Biking_v_Biking_g04_c01,RAT-fusion,10,0.187960,0.000000,0.187960,0.187960,0.159844,0.002110,0.155607,0.162761,0.163710,0.002107,0.159533,0.166524
Biking_v_Biking_g04_c01,Random,10,0.100643,0.002568,0.096018,0.104390,0.097367,0.003123,0.092109,0.102630,0.094054,0.003415,0.088292,0.099554
Biking_v_Biking_g04_c01,Shifted-RAT+traj,10,0.101059,0.004360,0.096145,0.111503,0.101451,0.003812,0.097486,0.111006,0.098895,0.004152,0.094213,0.109346
Biking_v_Biking_g04_c01,Shifted-RAT-fusion,10,0.103659,0.000000,0.103659,0.103659,0.101750,0.000717,0.100474,0.102866,0.099417,0.000820,0.098257,0.100703
Biking_v_Biking_g04_c01,VideoMAE-only,10,0.144694,0.000000,0.144694,0.144694,0.137106,0.001022,0.135409,0.138328,0.137282,0.001106,0.135223,0.138755
Diving_v_Diving_g01_c01,Motion-reference,10,0.787897,0.000000,0.787897,0.787897,0.744650,0.000752,0.742918,0.745677,0.786098,0.001021,0.784577,0.787728
Diving_v_Diving_g01_c01,RAT+traj,10,0.170769,0.005698,0.162369,0.181308,0.180461,0.005442,0.171617,0.190492,0.178697,0.006079,0.169247,0.189650
Diving_v_Diving_g01_c01,RAT-fusion,10,0.183052,0.000000,0.183052,0.183052,0.191191,0.001226,0.189517,0.193620,0.190165,0.001247,0.188450,0.192463
Diving_v_Diving_g01_c01,Random,10,0.101726,0.003705,0.096853,0.110510,0.110956,0.003910,0.105998,0.120119,0.104783,0.003974,0.099647,0.113695
Diving_v_Diving_g01_c01,Shifted-RAT+traj,10,0.044375,0.003253,0.038459,0.049259,0.056778,0.003239,0.051278,0.061478,0.046606,0.003434,0.040916,0.051405
Diving_v_Diving_g01_c01,Shifted-RAT-fusion,10,0.057369,0.000000,0.057369,0.057369,0.069293,0.000486,0.068718,0.070252,0.060025,0.000363,0.059403,0.060765
Diving_v_Diving_g01_c01,VideoMAE-only,10,0.054470,0.000000,0.054470,0.054470,0.064119,0.000339,0.063569,0.064645,0.055492,0.000269,0.055018,0.055943
Diving_v_Diving_g02_c01,Motion-reference,10,0.697383,0.000000,0.697383,0.697383,0.600477,0.001669,0.598226,0.602885,0.678631,0.002107,0.675478,0.682018
Diving_v_Diving_g02_c01,RAT+traj,10,0.145582,0.008478,0.130575,0.159805,0.134572,0.007225,0.120969,0.146011,0.137539,0.008621,0.121612,0.150016
Diving_v_Diving_g02_c01,RAT-fusion,10,0.153481,0.000000,0.153481,0.153481,0.140727,0.001006,0.138623,0.141965,0.144625,0.001236,0.142768,0.146039
Diving_v_Diving_g02_c01,Random,10,0.105662,0.005594,0.098760,0.118280,0.100203,0.004627,0.094669,0.111369,0.094687,0.005389,0.087468,0.107930
Diving_v_Diving_g02_c01,Shifted-RAT+traj,10,0.097835,0.009776,0.079252,0.112156,0.096741,0.007924,0.081810,0.107889,0.092608,0.009355,0.074300,0.105868
Diving_v_Diving_g02_c01,Shifted-RAT-fusion,10,0.081870,0.000000,0.081869,0.081869,0.080495,0.000818,0.078543,0.081654,0.074344,0.001279,0.071427,0.075797
Diving_v_Diving_g02_c01,VideoMAE-only,10,0.195749,0.000000,0.195749,0.195749,0.134718,0.001050,0.133102,0.136267,0.137341,0.001400,0.135159,0.139096
Diving_v_Diving_g03_c01,Motion-reference,10,0.777236,0.000000,0.777236,0.777236,0.705056,0.001532,0.702808,0.707173,0.772166,0.001694,0.770320,0.774929
Diving_v_Diving_g03_c01,RAT+traj,10,0.112602,0.005104,0.101128,0.119764,0.101961,0.004179,0.093449,0.107976,0.101725,0.004675,0.092178,0.108047
Diving_v_Diving_g03_c01,RAT-fusion,10,0.132463,0.000000,0.132463,0.132463,0.123983,0.001718,0.121842,0.126837,0.125660,0.001692,0.123905,0.129393
Diving_v_Diving_g03_c01,Random,10,0.100731,0.005328,0.091591,0.110206,0.095173,0.004798,0.087178,0.103011,0.090840,0.004986,0.082225,0.099379
Diving_v_Diving_g03_c01,Shifted-RAT+traj,10,0.087682,0.004009,0.080060,0.095681,0.088076,0.004197,0.080675,0.095673,0.085958,0.004141,0.078988,0.094372
Diving_v_Diving_g03_c01,Shifted-RAT-fusion,10,0.079956,0.000000,0.079956,0.079956,0.078616,0.000900,0.077221,0.080770,0.075806,0.001117,0.073734,0.077702
Diving_v_Diving_g03_c01,VideoMAE-only,10,0.301806,0.000000,0.301806,0.301806,0.281660,0.001408,0.278069,0.283192,0.301948,0.001711,0.298064,0.303805
Diving_v_Diving_g04_c01,Motion-reference,10,0.790757,0.000000,0.790757,0.790757,0.724683,0.002394,0.718741,0.727538,0.779740,0.003316,0.772688,0.782807
Diving_v_Diving_g04_c01,RAT+traj,10,0.188435,0.013447,0.173059,0.222849,0.187493,0.011463,0.170327,0.215113,0.188154,0.012784,0.168726,0.219057
Diving_v_Diving_g04_c01,RAT-fusion,10,0.204834,0.000000,0.204834,0.204834,0.202215,0.002509,0.198530,0.206918,0.204863,0.002779,0.201816,0.211518
Diving_v_Diving_g04_c01,Random,10,0.102388,0.007113,0.092146,0.114226,0.111031,0.007894,0.100480,0.124627,0.105053,0.008732,0.093420,0.120822
Diving_v_Diving_g04_c01,Shifted-RAT+traj,10,0.039372,0.009070,0.028245,0.060256,0.055297,0.009873,0.044419,0.077390,0.042636,0.010461,0.030392,0.065675
Diving_v_Diving_g04_c01,Shifted-RAT-fusion,10,0.056165,0.000000,0.056165,0.056165,0.069816,0.001188,0.067145,0.071196,0.058681,0.001244,0.055940,0.060076
Diving_v_Diving_g04_c01,VideoMAE-only,10,0.045192,0.000000,0.045192,0.045192,0.058562,0.000738,0.057312,0.060298,0.046827,0.000963,0.045417,0.048852
WalkingWithDog_v_WalkingWithDog_g01_c01,Motion-reference,10,0.782433,0.000000,0.782433,0.782433,0.724563,0.001664,0.721075,0.726298,0.779338,0.001710,0.775258,0.780895
WalkingWithDog_v_WalkingWithDog_g01_c01,RAT+traj,10,0.239715,0.010843,0.222052,0.256144,0.220761,0.010335,0.203894,0.235146,0.226396,0.011455,0.207828,0.242125
WalkingWithDog_v_WalkingWithDog_g01_c01,RAT-fusion,10,0.284778,0.000000,0.284778,0.284778,0.260505,0.001025,0.258702,0.261959,0.269985,0.001189,0.268074,0.271421
WalkingWithDog_v_WalkingWithDog_g01_c01,Random,10,0.102349,0.002884,0.096902,0.106317,0.097835,0.002181,0.093814,0.100818,0.091537,0.002382,0.087274,0.095367
WalkingWithDog_v_WalkingWithDog_g01_c01,Shifted-RAT+traj,10,0.023062,0.001539,0.020747,0.026298,0.030553,0.001170,0.028380,0.032482,0.018745,0.001256,0.016549,0.020814
