experiment,video_id,class,policy,policy_slug,seed,top_k,offset_row,offset_col,sigma,epsilon,delta,cover,raw_errshare,inc_errshare,raw_psnr,incremental_psnr
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,40,3,4,145.912819263,8.000000000,0.000100000,0.170599389,0.163073960,0.150564020,10.949778612,11.036505933
E2,BalanceBeam_v_BalanceBeam_g02_c01,BalanceBeam,VideoMAE-only,videomae_only,42,40,,,145.912819263,8.000000000,0.000100000,0.081596803,0.080507753,0.067568677,10.653178137,10.750056844
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,RAT+traj,rat_traj,42,10,,,113.080999900,8.000000000,0.000100000,0.409316706,0.379400505,0.394362767,17.843977860,18.280668547
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Motion-reference,motion_reference,42,10,,,113.080999900,8.000000000,0.000100000,0.805554286,0.734983372,0.790015837,17.899728163,18.371593986
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Random,random,42,10,,,113.080999900,8.000000000,0.000100000,0.054789170,0.058097835,0.042630057,17.125626213,17.468691393
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,10,3,4,113.080999900,8.000000000,0.000100000,0.024870326,0.040656631,0.022048564,17.325875088,17.732586756
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,RAT-fusion,rat_fusion,42,10,,,113.080999900,8.000000000,0.000100000,0.422151571,0.387519317,0.404027269,17.873000193,18.316056631
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,10,3,4,113.080999900,8.000000000,0.000100000,0.017275994,0.033882794,0.015220262,17.306571809,17.690318896
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,VideoMAE-only,videomae_only,42,10,,,113.080999900,8.000000000,0.000100000,0.000000000,0.015168753,0.000463432,16.054428989,16.353347583
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,RAT+traj,rat_traj,42,20,,,159.920683705,8.000000000,0.000100000,0.446613960,0.431023579,0.431485411,14.958492322,15.177519771
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Motion-reference,motion_reference,42,20,,,159.920683705,8.000000000,0.000100000,0.726793795,0.694081086,0.707597253,15.012320700,15.261035816
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Random,random,42,20,,,159.920683705,8.000000000,0.000100000,0.104831659,0.099373982,0.086585654,14.295149136,14.463458647
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,20,3,4,159.920683705,8.000000000,0.000100000,0.060957400,0.064474062,0.050130542,14.371641557,14.577845529
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,RAT-fusion,rat_fusion,42,20,,,159.920683705,8.000000000,0.000100000,0.441153101,0.419823059,0.420101763,14.961173367,15.179358601
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Shifted-RAT-fusion,shifted_rat_fusion_r3_c4,42,20,3,4,159.920683705,8.000000000,0.000100000,0.067039821,0.073090969,0.059010834,14.435380031,14.634290267
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,VideoMAE-only,videomae_only,42,20,,,159.920683705,8.000000000,0.000100000,0.000000000,0.012955181,0.000465689,13.296224361,13.467947840
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,RAT+traj,rat_traj,42,30,,,195.862037198,8.000000000,0.000100000,0.430181991,0.420962722,0.416310567,13.219467909,13.349082413
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Motion-reference,motion_reference,42,30,,,195.862037198,8.000000000,0.000100000,0.675667871,0.659809664,0.661902921,13.224851810,13.382742497
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Random,random,42,30,,,195.862037198,8.000000000,0.000100000,0.164718597,0.150511777,0.140938278,12.573980379,12.677244261
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,Shifted-RAT+traj,shifted_rat_traj_r3_c4,42,30,3,4,195.862037198,8.000000000,0.000100000,0.120153439,0.112580485,0.101607632,12.620920431,12.751607341
E2,BalanceBeam_v_BalanceBeam_g03_c01,BalanceBeam,RAT-fusion,rat_fusion,42,30,,,195.862037198,8.000000000,0.000100000,0.438440646,0.423204055,0.417599539,13.200225205,13.339984123
