video_id,metric,control,rat_value,control_value,difference
Basketball_v_Basketball_g03_c01,RawErr,VideoMAE-only,0.311920000,0.041098000,0.270822000
Basketball_v_Basketball_g04_c01,RawErr,VideoMAE-only,0.167105000,0.026201000,0.140904000
Biking_v_Biking_g01_c01,RawErr,VideoMAE-only,0.287315000,0.148082000,0.139233000
Biking_v_Biking_g02_c01,RawErr,VideoMAE-only,0.214501000,0.056113000,0.158388000
Biking_v_Biking_g03_c01,RawErr,VideoMAE-only,0.282166000,0.010147000,0.272019000
Biking_v_Biking_g04_c01,RawErr,VideoMAE-only,0.160730000,0.135968000,0.024762000
Diving_v_Diving_g01_c01,RawErr,VideoMAE-only,0.191153000,0.063569000,0.127584000
Diving_v_Diving_g02_c01,RawErr,VideoMAE-only,0.140057000,0.136267000,0.003790000
Diving_v_Diving_g03_c01,RawErr,VideoMAE-only,0.122363000,0.282199000,-0.159836000
Diving_v_Diving_g04_c01,RawErr,VideoMAE-only,0.203094000,0.058719000,0.144375000
WalkingWithDog_v_WalkingWithDog_g01_c01,RawErr,VideoMAE-only,0.261959000,0.024529000,0.237430000
WalkingWithDog_v_WalkingWithDog_g02_c01,RawErr,VideoMAE-only,0.244993000,0.019026000,0.225967000
WalkingWithDog_v_WalkingWithDog_g03_c01,RawErr,VideoMAE-only,0.118547000,0.183387000,-0.064840000
WalkingWithDog_v_WalkingWithDog_g04_c01,RawErr,VideoMAE-only,0.256201000,0.019741000,0.236460000
BalanceBeam_v_BalanceBeam_g01_c01,RawErr,RAT+traj.,0.208067000,0.205787000,0.002280000
BalanceBeam_v_BalanceBeam_g02_c01,RawErr,RAT+traj.,0.404538000,0.388553000,0.015985000
BalanceBeam_v_BalanceBeam_g03_c01,RawErr,RAT+traj.,0.419823000,0.431024000,-0.011201000
BalanceBeam_v_BalanceBeam_g10_c03,RawErr,RAT+traj.,0.395098000,0.370255000,0.024843000
Basketball_v_Basketball_g01_c01,RawErr,RAT+traj.,0.141384000,0.088390000,0.052994000
Basketball_v_Basketball_g02_c01,RawErr,RAT+traj.,0.285585000,0.270882000,0.014703000
Basketball_v_Basketball_g03_c01,RawErr,RAT+traj.,0.311920000,0.347809000,-0.035889000
Basketball_v_Basketball_g04_c01,RawErr,RAT+traj.,0.167105000,0.196461000,-0.029356000
Biking_v_Biking_g01_c01,RawErr,RAT+traj.,0.287315000,0.198740000,0.088575000
Biking_v_Biking_g02_c01,RawErr,RAT+traj.,0.214501000,0.216121000,-0.001620000
Biking_v_Biking_g03_c01,RawErr,RAT+traj.,0.282166000,0.341131000,-0.058965000
Biking_v_Biking_g04_c01,RawErr,RAT+traj.,0.160730000,0.198982000,-0.038252000
Diving_v_Diving_g01_c01,RawErr,RAT+traj.,0.191153000,0.171617000,0.019536000
Diving_v_Diving_g02_c01,RawErr,RAT+traj.,0.140057000,0.128384000,0.011673000
Diving_v_Diving_g03_c01,RawErr,RAT+traj.,0.122363000,0.093448000,0.028915000
Diving_v_Diving_g04_c01,RawErr,RAT+traj.,0.203094000,0.215113000,-0.012019000
WalkingWithDog_v_WalkingWithDog_g01_c01,RawErr,RAT+traj.,0.261959000,0.235146000,0.026813000
WalkingWithDog_v_WalkingWithDog_g02_c01,RawErr,RAT+traj.,0.244993000,0.265327000,-0.020334000
WalkingWithDog_v_WalkingWithDog_g03_c01,RawErr,RAT+traj.,0.118547000,0.107849000,0.010698000
WalkingWithDog_v_WalkingWithDog_g04_c01,RawErr,RAT+traj.,0.256201000,0.276991000,-0.020790000
BalanceBeam_v_BalanceBeam_g01_c01,IncErr,Random,0.208785000,0.092130000,0.116655000
BalanceBeam_v_BalanceBeam_g02_c01,IncErr,Random,0.399180000,0.095967000,0.303213000
BalanceBeam_v_BalanceBeam_g03_c01,IncErr,Random,0.420102000,0.086586000,0.333516000
BalanceBeam_v_BalanceBeam_g10_c03,IncErr,Random,0.394143000,0.078368000,0.315775000
Basketball_v_Basketball_g01_c01,IncErr,Random,0.147035000,0.094743000,0.052292000
Basketball_v_Basketball_g02_c01,IncErr,Random,0.309073000,0.088203000,0.220870000
Basketball_v_Basketball_g03_c01,IncErr,Random,0.333962000,0.111443000,0.222519000
Basketball_v_Basketball_g04_c01,IncErr,Random,0.163005000,0.100202000,0.062803000
Biking_v_Biking_g01_c01,IncErr,Random,0.288747000,0.113065000,0.175682000
Biking_v_Biking_g02_c01,IncErr,Random,0.217280000,0.099091000,0.118189000
Biking_v_Biking_g03_c01,IncErr,Random,0.282556000,0.102142000,0.180414000
Biking_v_Biking_g04_c01,IncErr,Random,0.163851000,0.088979000,0.074872000
Diving_v_Diving_g01_c01,IncErr,Random,0.190074000,0.102770000,0.087304000
Diving_v_Diving_g02_c01,IncErr,Random,0.143981000,0.107930000,0.036051000
Diving_v_Diving_g03_c01,IncErr,Random,0.123884000,0.096367000,0.027517000
Diving_v_Diving_g04_c01,IncErr,Random,0.206112000,0.108107000,0.098005000
WalkingWithDog_v_WalkingWithDog_g01_c01,IncErr,Random,0.271421000,0.093269000,0.178152000
WalkingWithDog_v_WalkingWithDog_g02_c01,IncErr,Random,0.265063000,0.077674000,0.187389000
WalkingWithDog_v_WalkingWithDog_g03_c01,IncErr,Random,0.121832000,0.105163000,0.016669000
WalkingWithDog_v_WalkingWithDog_g04_c01,IncErr,Random,0.253564000,0.090286000,0.163278000
BalanceBeam_v_BalanceBeam_g01_c01,IncErr,Shifted fusion,0.208785000,0.089631000,0.119154000
BalanceBeam_v_BalanceBeam_g02_c01,IncErr,Shifted fusion,0.399180000,0.044989000,0.354191000
BalanceBeam_v_BalanceBeam_g03_c01,IncErr,Shifted fusion,0.420102000,0.059011000,0.361091000
BalanceBeam_v_BalanceBeam_g10_c03,IncErr,Shifted fusion,0.394143000,0.095375000,0.298768000
Basketball_v_Basketball_g01_c01,IncErr,Shifted fusion,0.147035000,0.066263000,0.080772000
Basketball_v_Basketball_g02_c01,IncErr,Shifted fusion,0.309073000,0.066526000,0.242547000
Basketball_v_Basketball_g03_c01,IncErr,Shifted fusion,0.333962000,0.134004000,0.199958000
Basketball_v_Basketball_g04_c01,IncErr,Shifted fusion,0.163005000,0.156043000,0.006962000
Biking_v_Biking_g01_c01,IncErr,Shifted fusion,0.288747000,0.101244000,0.187503000
Biking_v_Biking_g02_c01,IncErr,Shifted fusion,0.217280000,0.126857000,0.090423000
Biking_v_Biking_g03_c01,IncErr,Shifted fusion,0.282556000,0.077758000,0.204798000
Biking_v_Biking_g04_c01,IncErr,Shifted fusion,0.163851000,0.100115000,0.063736000
Diving_v_Diving_g01_c01,IncErr,Shifted fusion,0.190074000,0.060007000,0.130067000
Diving_v_Diving_g02_c01,IncErr,Shifted fusion,0.143981000,0.075151000,0.068830000
Diving_v_Diving_g03_c01,IncErr,Shifted fusion,0.123884000,0.075396000,0.048488000
Diving_v_Diving_g04_c01,IncErr,Shifted fusion,0.206112000,0.060076000,0.146036000
WalkingWithDog_v_WalkingWithDog_g01_c01,IncErr,Shifted fusion,0.271421000,0.031898000,0.239523000
WalkingWithDog_v_WalkingWithDog_g02_c01,IncErr,Shifted fusion,0.265063000,0.054912000,0.210151000
WalkingWithDog_v_WalkingWithDog_g03_c01,IncErr,Shifted fusion,0.121832000,0.071416000,0.050416000
WalkingWithDog_v_WalkingWithDog_g04_c01,IncErr,Shifted fusion,0.253564000,0.059738000,0.193826000
BalanceBeam_v_BalanceBeam_g01_c01,IncErr,VideoMAE-only,0.208785000,0.004500000,0.204285000
BalanceBeam_v_BalanceBeam_g02_c01,IncErr,VideoMAE-only,0.399180000,0.000464000,0.398716000
BalanceBeam_v_BalanceBeam_g03_c01,IncErr,VideoMAE-only,0.420102000,0.000466000,0.419636000
BalanceBeam_v_BalanceBeam_g10_c03,IncErr,VideoMAE-only,0.394143000,0.000487000,0.393656000
Basketball_v_Basketball_g01_c01,IncErr,VideoMAE-only,0.147035000,0.025672000,0.121363000
Basketball_v_Basketball_g02_c01,IncErr,VideoMAE-only,0.309073000,0.172105000,0.136968000
Basketball_v_Basketball_g03_c01,IncErr,VideoMAE-only,0.333962000,0.030064000,0.303898000
Basketball_v_Basketball_g04_c01,IncErr,VideoMAE-only,0.163005000,0.006251000,0.156754000
Biking_v_Biking_g01_c01,IncErr,VideoMAE-only,0.288747000,0.130900000,0.157847000
Biking_v_Biking_g02_c01,IncErr,VideoMAE-only,0.217280000,0.038322000,0.178958000
Biking_v_Biking_g03_c01,IncErr,VideoMAE-only,0.282556000,0.000858000,0.281698000
Biking_v_Biking_g04_c01,IncErr,VideoMAE-only,0.163851000,0.135874000,0.027977000
Diving_v_Diving_g01_c01,IncErr,VideoMAE-only,0.190074000,0.055018000,0.135056000
Diving_v_Diving_g02_c01,IncErr,VideoMAE-only,0.143981000,0.139096000,0.004885000
Diving_v_Diving_g03_c01,IncErr,VideoMAE-only,0.123884000,0.301902000,-0.178018000
Diving_v_Diving_g04_c01,IncErr,VideoMAE-only,0.206112000,0.047582000,0.158530000
WalkingWithDog_v_WalkingWithDog_g01_c01,IncErr,VideoMAE-only,0.271421000,0.012922000,0.258499000
WalkingWithDog_v_WalkingWithDog_g02_c01,IncErr,VideoMAE-only,0.265063000,0.008761000,0.256302000
WalkingWithDog_v_WalkingWithDog_g03_c01,IncErr,VideoMAE-only,0.121832000,0.190902000,-0.069070000
WalkingWithDog_v_WalkingWithDog_g04_c01,IncErr,VideoMAE-only,0.253564000,0.006026000,0.247538000
BalanceBeam_v_BalanceBeam_g01_c01,IncErr,RAT+traj.,0.208785000,0.206268000,0.002517000
BalanceBeam_v_BalanceBeam_g02_c01,IncErr,RAT+traj.,0.399180000,0.381899000,0.017281000
BalanceBeam_v_BalanceBeam_g03_c01,IncErr,RAT+traj.,0.420102000,0.431485000,-0.011383000
BalanceBeam_v_BalanceBeam_g10_c03,IncErr,RAT+traj.,0.394143000,0.366235000,0.027908000
Basketball_v_Basketball_g01_c01,IncErr,RAT+traj.,0.147035000,0.090129000,0.056906000
Basketball_v_Basketball_g02_c01,IncErr,RAT+traj.,0.309073000,0.294125000,0.014948000
Basketball_v_Basketball_g03_c01,IncErr,RAT+traj.,0.333962000,0.375092000,-0.041130000
Basketball_v_Basketball_g04_c01,IncErr,RAT+traj.,0.163005000,0.195693000,-0.032688000
Biking_v_Biking_g01_c01,IncErr,RAT+traj.,0.288747000,0.191275000,0.097472000
Biking_v_Biking_g02_c01,IncErr,RAT+traj.,0.217280000,0.219908000,-0.002628000
Biking_v_Biking_g03_c01,IncErr,RAT+traj.,0.282556000,0.343606000,-0.061050000
Biking_v_Biking_g04_c01,IncErr,RAT+traj.,0.163851000,0.205763000,-0.041912000
Diving_v_Diving_g01_c01,IncErr,RAT+traj.,0.190074000,0.169247000,0.020827000
Diving_v_Diving_g02_c01,IncErr,RAT+traj.,0.143981000,0.130351000,0.013630000
Diving_v_Diving_g03_c01,IncErr,RAT+traj.,0.123884000,0.092175000,0.031709000
Diving_v_Diving_g04_c01,IncErr,RAT+traj.,0.206112000,0.219057000,-0.012945000
WalkingWithDog_v_WalkingWithDog_g01_c01,IncErr,RAT+traj.,0.271421000,0.242125000,0.029296000
WalkingWithDog_v_WalkingWithDog_g02_c01,IncErr,RAT+traj.,0.265063000,0.289456000,-0.024393000
WalkingWithDog_v_WalkingWithDog_g03_c01,IncErr,RAT+traj.,0.121832000,0.109862000,0.011970000
WalkingWithDog_v_WalkingWithDog_g04_c01,IncErr,RAT+traj.,0.253564000,0.276399000,-0.022835000
